CUSTOMER_ID,First_Name,Last_Name,City,Phone_Number,Occupation,DOB
,timothy,nelson,davidville,1592081539,MAGICIAN,1915-09-03
,Courtney,Farley,,null,Scientist,1922-05-11
C00003,sheena,solis,new john,4311466522,BUSINESSMAN,1933-10-27
c00004,amy,Martinez,JONESTON,6112876134,MECHANIC,null
c00005,,,SOUTH CHRISTINE,8756770692,repairman,1999-03-01
C00006,Benjamin,Johnson,WEST EVANMOUTH,1402377116,Businessman,1942-04-21
C00007,CRAIG,ELLIOTT,sanchezshire,6202263306,Construction worker,1963-04-27
C00008,rebecca,KELLER,south christian,1063299332,Carpenter,1961-12-15
c00009,,HOLT,CASEYTOWN,9923202932,priest,1951-12-23
C00010,Jeremy,LE,LAKE JUSTINMOUTH,5032107777,Paramedic,1961-12-31
C00011,Shannon,ROSE,youngview,5611248497,,1923-04-16
c00012,matthew,GUERRERO,West Kristen,142570667,train conductor,1976-09-12
C00013,Michael,Clark,East Maxwell,582686100,ARCHITECT,1960-11-07
C00014,Bobby,Jones,,6257977143,CONSTRUCTION WORKER,1926-08-02
C00015,wayne,DAUGHERTY,north morgan,null,Police officer,1961-07-01
c00016,sharon,Gutierrez,South Joanneland,3990712774,,1994-05-10
C00017,Jennifer,VASQUEZ,SOUTH ERIN,5394311250,,1983-06-02
c00018,Howard,Lopez,EAST RENEE,7738800649,Photographer,1939-04-01
C00019,David,olsen,fordport,9096111363,HOUSEWIFE,1943-12-29
C00020,Colin,andrews,Nguyenborough,513207155,Paramedic,1935-07-19
C00021,MICHAEL,Barnett,DAVISPORT,2663819972,Pilot,1985-04-14
c00022,bonnie,Reynolds,Espinozahaven,3118043227,Soldier,2003-06-25
c00023,HOLLY,,kevinview,null,,1964-12-14
c00024,Bobby,Woods,austinville,7328375552,cameraman,1996-06-23
,terri,Rogers,WEST SUSAN,993141816,professor,1941-10-22
c00026,Ian,SMITH,North Michael,2338754333,,1930-05-05
C00027,,Hart,south jacquelineburgh,3187905398,housewife,null
C00028,CYNTHIA,HOBBS,theodoreville,8022006537,DOORMAN,1944-04-10
c00029,laurie,Bonilla,Whitneychester,3168277850,DIVER,1921-10-11
c00030,Ryan,CALDWELL,New David,9361303269,,1995-07-17
C00031,Robert,Reed,NORTH KELLY,9938164073,Boxer,1998-07-01
c00032,,,,7090917820,geisha,1957-08-09
C00033,,KNIGHT,TRAVISBOROUGH,5118215456,PROFESSOR,1970-06-02
c00034,gwendolyn,MARTIN,Morrisonmouth,6420667673,GEISHA,1978-03-01
c00035,Carol,Wolf,MCLAUGHLINVIEW,596484418,builder,null
c00036,lisa,spencer,,3813174398,Reporter,1919-04-19
c00037,,,ABIGAILFORT,7701386275,journalist,1939-03-14
C00038,JESSICA,martinez,West Anthony,null,Surgeon,1982-11-07
C00039,Katherine,Melendez,PORT DAVID,5118847617,priest,1948-09-02
c00040,jason,Webster,,1622923559,Mechanic,1992-12-18
C00041,beth,MILLER,NEW LAURA,8183956428,Geisha,2002-08-21
C00042,,morgan,east johntown,6727744668,,2003-06-19
c00043,Justin,ANDERSON,south johnathanstad,8609339016,SCIENTIST,1975-03-04
